player_id,family_name,given_name,total_games_played,n_minutes_played,n_tournaments,n_tournaments_played,total_final_match_played,n_wc_wins,total_goals,total_penalty_scored,0
P-04441,Granqvist,Andreas,5,450,1,1,0,0,2,2,-1
P-02366,Sárosi,György,5,450,2,2,1,0,6,1,-1
P-01478,Bílek,Michal,5,427,1,1,0,0,2,2,-1
P-05599,Denílson,not applicable,12,382,2,2,2,1,0,0,-1
P-04418,Stábile,Guillermo,4,360,1,1,1,0,8,0,-1
P-07658,Flowers,Ron,4,360,2,1,0,1,2,2,-1
P-09401,Belanov,Ihor,4,313,1,1,0,0,4,2,-1
P-05168,Raí,not applicable,5,310,1,1,0,1,1,1,-1
P-00334,Corbatta,Oreste,3,270,1,1,0,0,3,2,-1
P-06084,Olsen,Jesper,4,232,1,1,0,0,3,2,-1
P-07023,Salenko,Oleg,3,216,1,1,0,0,6,2,-1
P-07198,Panenka,Antonín,2,111,1,1,0,0,2,2,-1
