player_id,total_games_played,n_minutes_played,yellow_card,second_yellow_card,red_card,n_tournaments,n_tournaments_played,total_final_match_played,n_wc_wins,total_goals,total_penalty_scored,total_own_goals
P-00904,16,1363,3,0,0,3,3,1,1,10,1,0
P-08612,9,797,3,0,0,2,2,0,0,2,0,0
P-08606,10,764,3,0,0,2,2,1,1,1,0,0
P-06905,7,654,3,0,0,2,2,0,0,1,0,0
P-02932,9,735,3,0,0,3,3,0,0,0,0,0
P-06528,8,780,3,0,0,2,2,0,0,1,0,0
P-01441,11,360,3,0,0,2,2,0,0,0,0,0
P-08920,7,557,3,0,0,3,3,0,0,3,3,0
P-09372,9,757,3,1,0,3,3,0,0,0,0,0
P-00193,7,660,3,0,0,2,2,0,0,0,0,0
P-06698,10,915,3,1,0,3,2,1,0,1,0,0
P-09346,11,990,3,0,0,2,2,0,0,2,0,0
P-02669,13,1170,3,0,0,2,2,1,1,0,0,0
P-09294,7,546,3,0,1,2,2,0,0,0,0,0
P-09283,6,594,3,0,0,1,1,1,1,0,0,0
P-04483,16,1464,3,0,0,4,4,1,1,0,0,0
P-09162,6,464,3,0,0,1,1,0,0,1,0,0
P-02737,13,1171,3,0,0,2,2,1,0,1,0,0
P-00986,6,470,3,0,0,2,2,0,0,0,0,0
P-05697,3,200,3,0,0,1,1,0,0,0,0,0
P-09137,12,1170,3,0,0,2,2,0,0,1,1,0
P-02033,10,855,3,0,0,2,2,0,0,2,0,0
P-06751,13,1155,3,0,0,3,2,1,1,2,0,0
P-08987,11,942,3,0,0,2,2,2,0,0,0,0
P-08969,8,523,3,0,0,3,3,0,0,2,0,0
P-01196,4,354,3,0,0,1,1,0,0,0,0,0
P-08521,4,318,3,0,0,1,1,0,0,0,0,0
P-05926,6,531,3,0,0,1,1,1,0,3,0,0
P-02225,12,810,3,0,0,3,2,1,1,0,0,0
P-06311,6,299,3,0,0,2,2,0,0,0,0,0
P-07659,8,750,3,0,0,3,3,0,0,1,0,0
P-07630,6,570,3,0,0,2,2,0,0,0,0,0
