manager_id,n_appearances,n_wc,win,lose,draw,goals_difference,n_wc_wins
M-344,10,2,6,2,2,4,0
M-345,7,1,5,1,1,11,0
M-346,4,1,0,2,2,-4,0
M-347,9,2,3,5,1,-7,0
M-348,3,1,0,3,0,-5,0
M-349,3,1,0,2,1,-2,0
M-350,4,1,1,1,2,-1,0
M-351,4,1,1,2,1,-2,0
M-352,4,1,2,2,0,3,0
M-353,5,1,4,1,0,3,0
M-354,14,4,3,6,5,-2,0
M-355,3,1,0,2,1,-4,0
M-357,3,1,0,2,1,-5,0
