match_name,score,yellow_card,red_card,substitutions,squad_x_play_in_the_match
North Korea v Portugal,-2,4,0,6,0
Hungary v Soviet Union,-1,0,0,4,0
Hungary v Soviet Union,-1,0,0,4,0
Uruguay v West Germany,-4,4,2,4,0
Uruguay v West Germany,-4,4,2,4,0
Uruguay v West Germany,-4,4,2,4,0
Soviet Union v West Germany,-1,1,1,0,0
England v Portugal,1,4,1,6,0
England v Portugal,1,4,1,6,0
England v Portugal,1,4,1,6,0
Portugal v Soviet Union,1,0,0,0,0
England v West Germany,2,0,0,0,0
England v West Germany,2,0,0,0,0
England v West Germany,2,0,0,0,0
England v West Germany,2,0,0,0,0
Mexico v Soviet Union,0,5,0,3,0
Israel v Uruguay,-2,0,0,3,0
England v Romania,1,0,0,3,0
England v Romania,1,0,0,3,0
Bulgaria v Peru,-1,0,0,4,0
Belgium v El Salvador,3,2,0,6,0
Belgium v El Salvador,3,2,0,6,0
Italy v Sweden,1,1,0,3,1
Italy v Sweden,1,1,0,3,1
Brazil v Czechoslovakia,3,1,3,3,0
Brazil v Czechoslovakia,3,1,3,3,0
Brazil v Czechoslovakia,3,1,3,3,0
Brazil v Czechoslovakia,3,1,3,3,0
Brazil v Czechoslovakia,3,1,3,3,0
Morocco v West Germany,-1,0,0,4,0
Morocco v West Germany,-1,0,0,4,0
Belgium v Soviet Union,-3,1,0,6,0
Belgium v Soviet Union,-3,1,0,6,0
Belgium v Soviet Union,-3,1,0,6,0
Italy v Uruguay,0,0,0,2,1
Italy v Uruguay,0,0,0,2,1
Italy v Uruguay,0,0,0,2,1
Czechoslovakia v Romania,-1,2,0,4,0
Czechoslovakia v Romania,-1,2,0,4,0
Morocco v Peru,-3,0,0,4,0
El Salvador v Mexico,-4,4,0,4,0
Israel v Sweden,0,3,0,2,0
Brazil v England,1,1,0,3,0
Brazil v England,1,1,0,3,0
Brazil v England,1,1,0,3,0
Brazil v England,1,1,0,3,0
Bulgaria v West Germany,-3,0,0,4,0
El Salvador v Soviet Union,-2,1,0,4,0
