manager_id,n_appearances,n_wc,win,lose,draw,goals_difference,n_wc_wins,C-1,C-2,C-3,Segm K-means PCA,Segment
M-071,7.0,1,0.42857142857142855,0.2857142857142857,0.2857142857142857,2,0.0,1.6348817925544485,0.5154277268428382,-1.0134558231414197,4,4
M-075,5.0,1,0.4,0.4,0.2,-4,0.0,0.20115194710551987,0.0797447564582879,-0.6646068217292472,4,4
M-078,5.0,1,0.6,0.2,0.2,5,0.0,1.6727080477958625,-0.025982764785922194,-1.0368275205515582,4,4
M-080,6.0,1,0.5,0.3333333333333333,0.16666666666666666,-2,0.0,0.9914173763929265,-0.0848503709373824,-0.9167015311884354,4,4
M-085,4.0,1,0.25,0.25,0.5,1,0.0,0.346795734191967,1.5570953844508046,-0.5148024783968647,4,4
M-088,3.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,0.0,-0.015029244963531472,0.6505933671660338,-0.4654859007640891,4,4
M-093,3.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,0.0,-0.015029244963531472,0.6505933671660338,-0.4654859007640891,4,4
M-097,6.0,1,0.5,0.3333333333333333,0.16666666666666666,0,0.0,1.158290701946159,-0.11230501818752439,-0.9402214735794615,4,4
M-102,3.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,-3,0.0,-0.34877589606999676,0.7055026616663178,-0.41844601598203707,4,4
M-105,5.0,1,0.6,0.0,0.4,5,0.0,2.071714880942916,1.0339932580773534,-1.1017518760069747,4,4
M-108,7.0,1,0.5714285714285714,0.2857142857142857,0.14285714285714285,4,0.0,2.0314831913603544,-0.2564252286086228,-1.1808733388233583,4,4
M-109,4.0,1,0.25,0.5,0.25,0,0.0,-0.2353994700184666,0.24585267949678122,-0.42188706288208133,4,4
M-112,7.0,1,0.42857142857142855,0.2857142857142857,0.2857142857142857,5,0.0,1.8851917808842977,0.47424575596762525,-1.0487357367279588,4,4
M-117,4.0,1,0.5,0.25,0.25,2,0.0,0.8322565251607609,0.24067102147342526,-0.7783832028514749,4,4
M-123,4.0,1,0.5,0.25,0.25,3,0.0,0.9156931879373772,0.22694369784835425,-0.790143174046988,4,4
M-125,6.0,1,0.3333333333333333,0.5,0.16666666666666666,-1,0.0,0.47433225941887985,-0.1134263540469774,-0.7064773706650366,4,4
M-127,4.0,1,0.25,0.5,0.25,-2,0.0,-0.4022727955716992,0.2733073267469232,-0.39836712049105527,4,4
M-133,4.0,1,0.25,0.25,0.5,1,0.0,0.346795734191967,1.5570953844508046,-0.5148024783968647,4,4
M-134,5.0,1,0.4,0.4,0.2,2,0.0,0.7017719237652179,-0.002619185292138108,-0.7351666489023252,4,4
M-140,3.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0.0,-0.0984659077401478,0.6643206907911048,-0.4537259295685761,4,4
M-141,4.0,1,0.25,0.5,0.25,-2,0.0,-0.4022727955716992,0.2733073267469232,-0.39836712049105527,4,4
M-149,4.0,1,0.25,0.5,0.25,3,0.0,0.014910518311382433,0.2046707086215682,-0.45716697646862037,4,4
M-153,3.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0.0,-0.0984659077401478,0.6643206907911048,-0.4537259295685761,4,4
M-155,4.0,1,0.25,0.5,0.25,0,0.0,-0.2353994700184666,0.24585267949678122,-0.42188706288208133,4,4
M-158,4.0,1,0.25,0.25,0.5,1,0.0,0.346795734191967,1.5570953844508046,-0.5148024783968647,4,4
M-159,5.0,1,0.4,0.4,0.2,1,0.0,0.6183352609886016,0.011108138332932893,-0.7234066777068122,4,4
M-168,4.0,1,0.5,0.25,0.25,7,0.0,1.2494398390438424,0.17203440334807027,-0.83718305882904,4,4
M-177,3.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,-1,0.0,-0.18190257051676412,0.6780480144161758,-0.4419659583730631,4,4
M-185,3.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,0.0,-0.015029244963531472,0.6505933671660338,-0.4654859007640891,4,4
M-189,3.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,2,0.0,0.06840741781308485,0.6368660435409628,-0.4772458719596021,4,4
M-190,4.0,1,0.25,0.25,0.5,0,0.0,0.26335907141535064,1.5708227080758754,-0.5030425072013517,4,4
M-193,3.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,6,0.0,0.40215406891955024,0.5819567490406787,-0.5242857567416541,4,4
M-194,5.0,1,0.4,0.2,0.4,1,0.0,1.0173420941356552,1.0710841611962085,-0.7883310331622284,4,4
M-205,3.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,0.0,0.15184408058970122,0.6231387199158918,-0.48900584315511514,4,4
M-208,5.0,1,0.6,0.2,0.2,7,0.0,1.839581373349095,-0.0534374120360642,-1.0603474629425844,4,4
M-210,4.0,1,0.25,0.5,0.25,-4,0.0,-0.5691461211249318,0.3007619739970652,-0.37484717810002927,4,4
M-218,4.0,1,0.25,0.5,0.25,-1,0.0,-0.31883613279508294,0.25958000312185225,-0.4101270916865683,4,4
