match_name,total_teams_score,yellow_card,red_card,substitutions,n_same_squad_match,0
Scotland v West Germany,3,3,0,4,1,0
Scotland v Yugoslavia,4,5,0,2,2,0
Scotland v Zaire,2,2,0,3,1,0
Senegal v Sweden,3,2,0,4,1,0
Senegal v Turkey,1,4,0,2,1,0
Senegal v Uruguay,6,12,0,6,1,0
Serbia v Switzerland,3,5,0,5,1,0
Slovenia v South Africa,1,6,0,6,1,0
Slovenia v Spain,4,3,0,6,1,0
Slovenia v United States,4,5,0,6,1,0
South Africa v Spain,5,4,0,6,1,0
South Korea v Sweden,1,3,0,6,1,0
South Korea v Switzerland,2,10,0,5,1,0
South Korea v Turkey,12,3,0,6,2,0
South Korea v United States,2,3,0,5,1,0
Soviet Union v Sweden,2,0,0,0,1,0
Soviet Union v Uruguay,4,12,0,8,2,0
Soviet Union v Yugoslavia,2,0,0,0,1,0
Spain v Sweden,5,1,0,3,2,0
Spain v Tunisia,4,8,0,6,1,0
Spain v United States,4,0,0,0,1,0
Spain v Uruguay,4,8,0,8,2,0
Spain v West Germany,6,10,0,6,2,0
Spain v Yugoslavia,6,18,0,16,2,0
Sweden v Uruguay,9,2,0,14,3,0
Sweden v Wales,0,0,0,0,1,0
Sweden v Yugoslavia,3,2,0,2,1,0
Switzerland v Togo,2,4,0,6,1,0
Switzerland v Ukraine,0,1,0,6,1,0
Switzerland v United States,2,3,0,4,1,0
Switzerland v West Germany,8,0,0,0,2,0
Switzerland v Yugoslavia,3,0,0,0,1,0
Tunisia v West Germany,0,2,0,1,1,0
Turkey v West Germany,14,0,0,0,2,0
United Arab Emirates v West Germany,6,3,0,4,1,0
United States v Yugoslavia,1,3,0,6,1,0
