match_name,home_team_id,home_team_name,home_team_code,away_team_id,away_team_name,away_team_code,score,home_team_score,away_team_score,home_team_score_margin,away_team_score_margin,home_team_score_penalties,away_team_score_penalties,home_team_win,away_team_win,yellow_card,red_card,substitutions
Argentina v Czechoslovakia,T-03,Argentina,ARG,T-20,Czechoslovakia,CSK,1–6,1,6,-5,5,0,0,0,1,0,0,0
Northern Ireland v West Germany,T-50,Northern Ireland,NIR,T-82,West Germany,DEU,2–2,2,2,0,0,0,0,0,0,0,0,0
France v Scotland,T-28,France,FRA,T-61,Scotland,SCO,2–1,2,1,1,-1,0,0,1,0,0,0,0
Paraguay v Yugoslavia,T-53,Paraguay,PRY,T-83,Yugoslavia,YUG,3–3,3,3,0,0,0,0,0,0,0,0,0
Hungary v Mexico,T-34,Hungary,HUN,T-44,Mexico,MEX,4–0,4,0,4,-4,0,0,1,0,0,0,0
Brazil v Soviet Union,T-09,Brazil,BRA,T-69,Soviet Union,SUN,2–0,2,0,2,-2,0,0,1,0,0,0,3
Austria v England,T-05,Austria,AUT,T-27,England,ENG,2–2,2,2,0,0,0,0,0,0,0,0,0
Czechoslovakia v Northern Ireland,T-20,Czechoslovakia,CSK,T-50,Northern Ireland,NIR,1–2,1,2,-1,1,0,0,0,1,0,1,0
Hungary v Wales,T-34,Hungary,HUN,T-81,Wales,WAL,1–2,1,2,-1,1,0,0,0,1,0,1,0
England v Soviet Union,T-27,England,ENG,T-69,Soviet Union,SUN,0–1,0,1,-1,1,0,0,0,1,0,0,0
Brazil v Wales,T-09,Brazil,BRA,T-81,Wales,WAL,1–0,1,0,1,-1,0,0,1,0,0,0,0
France v Northern Ireland,T-28,France,FRA,T-50,Northern Ireland,NIR,4–0,4,0,4,-4,0,0,1,0,2,0,3
Soviet Union v Sweden,T-69,Soviet Union,SUN,T-71,Sweden,SWE,0–2,0,2,-2,2,0,0,0,1,0,0,0
West Germany v Yugoslavia,T-82,West Germany,DEU,T-83,Yugoslavia,YUG,1–0,1,0,1,-1,0,0,1,0,1,0,4
Brazil v France,T-09,Brazil,BRA,T-28,France,FRA,5–2,5,2,3,-3,0,0,1,0,13,1,15
Sweden v West Germany,T-71,Sweden,SWE,T-82,West Germany,DEU,3–1,3,1,2,-2,0,0,1,0,0,1,0
France v West Germany,T-28,France,FRA,T-82,West Germany,DEU,6–3,6,3,3,-3,0,0,1,0,2,0,3
Brazil v Sweden,T-09,Brazil,BRA,T-71,Sweden,SWE,5–2,5,2,3,-3,0,0,1,0,8,0,10
Colombia v Uruguay,T-15,Colombia,COL,T-80,Uruguay,URY,1–2,1,2,-1,1,0,0,0,1,0,0,0
Chile v Switzerland,T-13,Chile,CHL,T-72,Switzerland,CHE,3–1,3,1,2,-2,0,0,1,0,9,1,6
Brazil v Mexico,T-09,Brazil,BRA,T-44,Mexico,MEX,2–0,2,0,2,-2,0,0,1,0,10,0,12
Argentina v Bulgaria,T-03,Argentina,ARG,T-10,Bulgaria,BGR,1–0,1,0,1,-1,0,0,1,0,11,1,8
Soviet Union v Yugoslavia,T-69,Soviet Union,SUN,T-83,Yugoslavia,YUG,2–0,2,0,2,-2,0,0,1,0,0,0,0
Italy v West Germany,T-39,Italy,ITA,T-82,West Germany,DEU,0–0,0,0,0,0,0,0,0,0,0,0,0
Czechoslovakia v Spain,T-20,Czechoslovakia,CSK,T-70,Spain,ESP,1–0,1,0,1,-1,0,0,1,0,0,0,0
England v Hungary,T-27,England,ENG,T-34,Hungary,HUN,1–2,1,2,-1,1,0,0,0,1,0,0,0
Uruguay v Yugoslavia,T-80,Uruguay,URY,T-83,Yugoslavia,YUG,1–3,1,3,-2,2,0,0,0,1,0,2,0
Chile v Italy,T-13,Chile,CHL,T-39,Italy,ITA,2–0,2,0,2,-2,0,0,1,0,0,2,0
Brazil v Czechoslovakia,T-09,Brazil,BRA,T-20,Czechoslovakia,CSK,0–0,0,0,0,0,0,0,0,0,1,3,3
Argentina v England,T-03,Argentina,ARG,T-27,England,ENG,1–3,1,3,-2,2,0,0,0,1,3,1,0
Colombia v Soviet Union,T-15,Colombia,COL,T-69,Soviet Union,SUN,4–4,4,4,0,0,0,0,0,0,0,0,0
Switzerland v West Germany,T-72,Switzerland,CHE,T-82,West Germany,DEU,1–2,1,2,-1,1,0,0,0,1,0,0,0
Mexico v Spain,T-44,Mexico,MEX,T-70,Spain,ESP,0–1,0,1,-1,1,0,0,0,1,0,0,0
Bulgaria v Hungary,T-10,Bulgaria,BGR,T-34,Hungary,HUN,1–6,1,6,-5,5,0,0,0,1,0,0,0
Soviet Union v Uruguay,T-69,Soviet Union,SUN,T-80,Uruguay,URY,2–1,2,1,1,-1,0,0,1,0,6,0,4
Chile v West Germany,T-13,Chile,CHL,T-82,West Germany,DEU,0–2,0,2,-2,2,0,0,0,1,5,1,7
Brazil v Spain,T-09,Brazil,BRA,T-70,Spain,ESP,2–1,2,1,1,-1,0,0,1,0,1,0,4
Argentina v Hungary,T-03,Argentina,ARG,T-34,Hungary,HUN,0–0,0,0,0,0,0,0,0,0,0,0,0
Colombia v Yugoslavia,T-15,Colombia,COL,T-83,Yugoslavia,YUG,0–5,0,5,-5,5,0,0,0,1,1,0,4
Italy v Switzerland,T-39,Italy,ITA,T-72,Switzerland,CHE,3–0,3,0,3,-3,0,0,1,0,0,0,0
Czechoslovakia v Mexico,T-20,Czechoslovakia,CSK,T-44,Mexico,MEX,1–3,1,3,-2,2,0,0,0,1,0,0,0
Bulgaria v England,T-10,Bulgaria,BGR,T-27,England,ENG,0–0,0,0,0,0,0,0,0,0,0,0,0
Brazil v England,T-09,Brazil,BRA,T-27,England,ENG,3–1,3,1,2,-2,0,0,1,0,1,0,3
Chile v Soviet Union,T-13,Chile,CHL,T-69,Soviet Union,SUN,2–1,2,1,1,-1,0,0,1,0,0,0,0
Czechoslovakia v Hungary,T-20,Czechoslovakia,CSK,T-34,Hungary,HUN,1–0,1,0,1,-1,0,0,1,0,0,0,0
West Germany v Yugoslavia,T-82,West Germany,DEU,T-83,Yugoslavia,YUG,0–1,0,1,-1,1,0,0,0,1,4,0,4
Brazil v Chile,T-09,Brazil,BRA,T-13,Chile,CHL,4–2,4,2,2,-2,0,0,1,0,16,0,17
Czechoslovakia v Yugoslavia,T-20,Czechoslovakia,CSK,T-83,Yugoslavia,YUG,3–1,3,1,2,-2,0,0,1,0,0,0,0
Chile v Yugoslavia,T-13,Chile,CHL,T-83,Yugoslavia,YUG,1–0,1,0,1,-1,0,0,1,0,0,0,0
Brazil v Czechoslovakia,T-09,Brazil,BRA,T-20,Czechoslovakia,CSK,3–1,3,1,2,-2,0,0,1,0,1,3,3
England v Uruguay,T-27,England,ENG,T-80,Uruguay,URY,0–0,0,0,0,0,0,0,0,0,0,0,0
Switzerland v West Germany,T-72,Switzerland,CHE,T-82,West Germany,DEU,0–5,0,5,-5,5,0,0,0,1,0,0,0
Brazil v Bulgaria,T-09,Brazil,BRA,T-10,Bulgaria,BGR,2–0,2,0,2,-2,0,0,1,0,0,0,0
North Korea v Soviet Union,T-49,North Korea,PRK,T-69,Soviet Union,SUN,0–3,0,3,-3,3,0,0,0,1,1,0,0
France v Mexico,T-28,France,FRA,T-44,Mexico,MEX,1–1,1,1,0,0,0,0,0,0,6,0,5
Argentina v Spain,T-03,Argentina,ARG,T-70,Spain,ESP,2–1,2,1,1,-1,0,0,1,0,0,0,0
Hungary v Portugal,T-34,Hungary,HUN,T-56,Portugal,PRT,1–3,1,3,-2,2,0,0,0,1,0,0,0
Chile v Italy,T-13,Chile,CHL,T-39,Italy,ITA,0–2,0,2,-2,2,0,0,0,1,5,0,6
France v Uruguay,T-28,France,FRA,T-80,Uruguay,URY,1–2,1,2,-1,1,0,0,0,1,12,1,12
Spain v Switzerland,T-70,Spain,ESP,T-72,Switzerland,CHE,2–1,2,1,1,-1,0,0,1,0,12,0,10
Brazil v Hungary,T-09,Brazil,BRA,T-34,Hungary,HUN,1–3,1,3,-2,2,0,0,0,1,0,1,0
Chile v North Korea,T-13,Chile,CHL,T-49,North Korea,PRK,1–1,1,1,0,0,0,0,0,0,0,0,0
Argentina v West Germany,T-03,Argentina,ARG,T-82,West Germany,DEU,0–0,0,0,0,0,0,0,0,0,6,0,3
Bulgaria v Portugal,T-10,Bulgaria,BGR,T-56,Portugal,PRT,0–3,0,3,-3,3,0,0,0,1,0,0,0
Italy v Soviet Union,T-39,Italy,ITA,T-69,Soviet Union,SUN,0–1,0,1,-1,1,0,0,0,1,0,0,0
England v Mexico,T-27,England,ENG,T-44,Mexico,MEX,2–0,2,0,2,-2,0,0,1,0,0,0,0
Mexico v Uruguay,T-44,Mexico,MEX,T-80,Uruguay,URY,0–0,0,0,0,0,0,0,0,0,3,0,5
Argentina v Switzerland,T-03,Argentina,ARG,T-72,Switzerland,CHE,2–0,2,0,2,-2,0,0,1,0,5,0,6
Brazil v Portugal,T-09,Brazil,BRA,T-56,Portugal,PRT,1–3,1,3,-2,2,0,0,0,1,7,0,6
Italy v North Korea,T-39,Italy,ITA,T-49,North Korea,PRK,0–1,0,1,-1,1,0,0,0,1,0,0,0
England v France,T-27,England,ENG,T-28,France,FRA,2–0,2,0,2,-2,0,0,1,0,1,0,3
Spain v West Germany,T-70,Spain,ESP,T-82,West Germany,DEU,1–2,1,2,-1,1,0,0,0,1,5,0,3
Bulgaria v Hungary,T-10,Bulgaria,BGR,T-34,Hungary,HUN,1–3,1,3,-2,2,0,0,0,1,0,0,0
Chile v Soviet Union,T-13,Chile,CHL,T-69,Soviet Union,SUN,1–2,1,2,-1,1,0,0,0,1,0,0,0
Argentina v England,T-03,Argentina,ARG,T-27,England,ENG,0–1,0,1,-1,1,0,0,0,1,3,1,0
North Korea v Portugal,T-49,North Korea,PRK,T-56,Portugal,PRT,3–5,3,5,-2,2,0,0,0,1,4,0,6
Hungary v Soviet Union,T-34,Hungary,HUN,T-69,Soviet Union,SUN,1–2,1,2,-1,1,0,0,0,1,0,0,4
Uruguay v West Germany,T-80,Uruguay,URY,T-82,West Germany,DEU,0–4,0,4,-4,4,0,0,0,1,4,2,4
Soviet Union v West Germany,T-69,Soviet Union,SUN,T-82,West Germany,DEU,1–2,1,2,-1,1,0,0,0,1,1,1,0
England v Portugal,T-27,England,ENG,T-56,Portugal,PRT,2–1,2,1,1,-1,0,0,1,0,4,1,6
Portugal v Soviet Union,T-56,Portugal,PRT,T-69,Soviet Union,SUN,2–1,2,1,1,-1,0,0,1,0,0,0,0
England v West Germany,T-27,England,ENG,T-82,West Germany,DEU,4–2,4,2,2,-2,0,0,1,0,0,0,0
Mexico v Soviet Union,T-44,Mexico,MEX,T-69,Soviet Union,SUN,0–0,0,0,0,0,0,0,0,0,5,0,3
Israel v Uruguay,T-38,Israel,ISR,T-80,Uruguay,URY,0–2,0,2,-2,2,0,0,0,1,0,0,3
